method,dim,function,instance,repetition,eval,best_feasible
qLogEI,2,2,2,4,7,inf
qLogEI,2,2,2,4,8,inf
qLogEI,2,2,2,4,9,inf
qLogEI,2,2,2,4,10,inf
qLogEI,2,2,2,4,11,inf
qLogEI,2,2,2,4,12,inf
qLogEI,2,2,2,4,13,inf
qLogEI,2,2,2,4,14,inf
qLogEI,2,2,2,4,15,inf
qLogEI,2,2,2,4,16,inf
qLogEI,2,2,2,4,17,inf
qLogEI,2,2,2,4,18,inf
qLogEI,2,2,2,4,19,inf
qLogEI,2,2,2,4,20,inf
RL_Full,2,2,2,4,1,inf
RL_Full,2,2,2,4,2,inf
RL_Full,2,2,2,4,3,inf
RL_Full,2,2,2,4,4,inf
RL_Full,2,2,2,4,5,inf
RL_Full,2,2,2,4,6,inf
RL_Full,2,2,2,4,7,inf
RL_Full,2,2,2,4,8,inf
RL_Full,2,2,2,4,9,inf
RL_Full,2,2,2,4,10,inf
RL_Full,2,2,2,4,11,inf
RL_Full,2,2,2,4,12,inf
RL_Full,2,2,2,4,13,inf
RL_Full,2,2,2,4,14,inf
RL_Full,2,2,2,4,15,inf
RL_Full,2,2,2,4,16,inf
RL_Full,2,2,2,4,17,inf
RL_Full,2,2,2,4,18,inf
RL_Full,2,2,2,4,19,inf
RL_Full,2,2,2,4,20,inf
Random,2,2,3,0,1,-6.624960755369926
Random,2,2,3,0,2,-6.624960755369926
Random,2,2,3,0,3,-6.624960755369926
Random,2,2,3,0,4,-6.624960755369926
Random,2,2,3,0,5,-6.624960755369926
Random,2,2,3,0,6,-6.624960755369926
Random,2,2,3,0,7,-538.7854115780654
Random,2,2,3,0,8,-538.7854115780654
Random,2,2,3,0,9,-538.7854115780654
Random,2,2,3,0,10,-538.7854115780654
Random,2,2,3,0,11,-538.7854115780654
Random,2,2,3,0,12,-538.7854115780654
Random,2,2,3,0,13,-538.7854115780654
Random,2,2,3,0,14,-538.7854115780654
Random,2,2,3,0,15,-538.7854115780654
Random,2,2,3,0,16,-538.7854115780654
Random,2,2,3,0,17,-681.2406693510877
Random,2,2,3,0,18,-681.2406693510877
Random,2,2,3,0,19,-681.2406693510877
Random,2,2,3,0,20,-681.2406693510877
qLogEI,2,2,3,0,1,-6.624960755369926
qLogEI,2,2,3,0,2,-6.624960755369926
qLogEI,2,2,3,0,3,-6.624960755369926
qLogEI,2,2,3,0,4,-6.624960755369926
qLogEI,2,2,3,0,5,-253.76743386498816
qLogEI,2,2,3,0,6,-434.0560811367419
qLogEI,2,2,3,0,7,-502.54239392417855
qLogEI,2,2,3,0,8,-586.6672878753091
qLogEI,2,2,3,0,9,-707.0439078260006
qLogEI,2,2,3,0,10,-707.0439078260006
qLogEI,2,2,3,0,11,-764.7471638261628
qLogEI,2,2,3,0,12,-764.7471638261628
qLogEI,2,2,3,0,13,-784.3366930660595
qLogEI,2,2,3,0,14,-784.3366930660595
qLogEI,2,2,3,0,15,-784.3366930660595
qLogEI,2,2,3,0,16,-784.3366930660595
qLogEI,2,2,3,0,17,-784.3366930660595
qLogEI,2,2,3,0,18,-784.3366930660595
qLogEI,2,2,3,0,19,-796.8626810324844
